,source_sentence,target_sentence,similarity,baseline,similarity,proposal,similarity
0," [CLS] three people sit on a bench at a station , the man looks oddly at the two women , the redhead ##ed women looks up and forward in an awkward position , and the yellow blond girl t ##wi ##ddle ##s with her hair . [SEP]", people wait at a station . [SEP],0.6682350039482117, a group of people are sitting . [SEP],0.7377444505691528, three people are sitting at a train . [SEP],0.741240918636322
1," [CLS] one tan girl with a wool hat is running and leaning over an object , while another person in a wool hat is sitting on the ground . [SEP]", a tan girl runs leans over an object [SEP],0.7972448468208313, a girl is wearing a hat . [SEP],0.7921247482299805, two girls are playing . [SEP],0.6873865127563477
2," [CLS] a person dressed in a dress with flowers and a stuffed bee attached to it , is pushing a baby stroll ##er down the street . [SEP]", a person outside pushing a stroll ##er . [SEP],0.7889481782913208, a person is a a stroll ##er . [SEP],0.6816223859786987, a person is a a dress . [SEP],0.6417573690414429
3," [CLS] a person wearing a straw hat , standing outside working a steel apparatus with a pile of coconut ##s on the ground . [SEP]", a person is near a pile of coconut ##s . [SEP],0.8303179740905762, a person is wearing a . [SEP],0.660763144493103, a person is wearing a hat hat . [SEP],0.7369480729103088
4, [CLS] a little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment . [SEP], a boy is on a playground . [SEP],0.7660447359085083, a boy plays on a playground . [SEP],0.8016657829284668, a boy is playing on a playground . [SEP],0.8167918920516968
5, [CLS] a man standing in front of a building on the phone as two men to the side pain on the side . [SEP], a guy near a building stands by two other men [SEP],0.8571256399154663, a man is standing on a [SEP],0.8149399757385254, a man is standing on the phone . [SEP],0.793979287147522
6, [CLS] a man looking over a bicycle ' s rear wheel in the maintenance garage with various tools visible in the background . [SEP], a person is in a garage . [SEP],0.7787744402885437, a man is a a wheel . [SEP],0.6187666654586792, a man is looking at a wheel . [SEP],0.7833239436149597
7, [CLS] a man looking over a bicycle ' s rear wheel in the maintenance garage with various tools visible in the background . [SEP], a man repairs bicycles . [SEP],0.7126128673553467, a man is a a wheel . [SEP],0.6187666654586792, a man is looking at a wheel . [SEP],0.7833239436149597
8, [CLS] this church choir sings to the masses as they sing joy ##ous songs from the book at a church . [SEP], the church is filled with song . [SEP],0.82177734375, a choir is singing . [SEP],0.7756661176681519, a choir is singing . [SEP],0.7756661176681519
9, [CLS] a child wearing a red top is standing behind a blond headed child sitting in a wheel ##bar ##row . [SEP], a child wearing a red top is standing behind a blond headed child [SEP],0.910392165184021, a child is standing a a wheel ##bar ##row . [SEP],0.8226673007011414, a child is standing behind a child . [SEP],0.8234444856643677
10, [CLS] two children re laying on a rug with some wooden bricks laid out in a square between them . [SEP], two children are on a rug . [SEP],0.8362537026405334, two children are laying on a [SEP],0.8221309185028076, two children are laying on a rug . [SEP],0.8797653317451477
11, [CLS] 3 young man in hood ##s standing in the middle of a quiet street facing the camera . [SEP], three hood wearing people pose for a picture . [SEP],0.717980682849884, a man is standing in the middle of a camera . [SEP],0.8379606008529663, a man is standing outside . [SEP],0.7504456043243408
12, [CLS] 3 young man in hood ##s standing in the middle of a quiet street facing the camera . [SEP], three hood wearing people stand in a street . [SEP],0.8276222348213196, a man is standing in the middle of a camera . [SEP],0.8379606008529663, a man is standing outside . [SEP],0.7504456043243408
13," [CLS] a woman with a green heads ##car ##f , blue shirt and a very big grin . [SEP]", the woman is very happy . [SEP],0.5860962867736816, a woman is wearing a . [SEP],0.6577256321907043, a woman is wearing a . [SEP],0.6577256321907043
14, [CLS] a blond - haired doctor and her african american assistant looking threw new medical manual ##s . [SEP], a doctor is looking at a book [SEP],0.7524144649505615, a blond is looking at a . [SEP],0.7478170990943909, a woman is looking at a . . [SEP],0.7017472386360168
15," [CLS] the two young girls are dressed as fairies , and are playing in the leaves outdoors . [SEP]", girls are playing outdoors . [SEP],0.724831223487854, two girls are playing in the . [SEP],0.7319030165672302, two girls are playing outside . [SEP],0.7862371206283569
16, [CLS] a woman wearing a ball cap squat ##s down to touch the cracked earth . [SEP], a squat ##ting woman wearing a hat touching the ground . [SEP],0.8565787076950073, a woman is a a . [SEP],0.5387344360351562, a woman is wearing a cap . [SEP],0.7438575625419617
17, [CLS] a man in a black shirt is looking at a bike in a workshop . [SEP], a man is in a black shirt [SEP],0.8246649503707886, a man is looking at a bike . [SEP],0.8849917650222778, a man is looking at a bike . [SEP],0.8849917650222778
